timestamp,value
0.103,0.14114
0.210,0.13789
0.317,0.14252
0.424,0.14320
0.530,0.13960
0.635,0.14029
0.742,0.14132
0.848,0.14200
0.954,0.14320
1.062,0.14440
1.168,0.14543
1.276,0.15092
1.384,0.14920
1.491,0.15092
1.597,0.15263
1.705,0.15384
1.811,0.15504
1.916,0.16104
2.023,0.15812
2.129,0.15915
2.236,0.16464
2.344,0.16207
2.450,0.16413
2.556,0.16584
2.664,0.16756
2.772,0.17304
2.880,0.17064
2.987,0.17184
3.094,0.17356
3.200,0.17476
3.306,0.17596
3.413,0.17716
3.520,0.17905
3.627,0.18025
3.733,0.18145
3.840,0.18333
3.949,0.18436
4.055,0.18488
4.161,0.18676
4.268,0.18796
4.374,0.18916
4.481,0.19088
4.587,0.19208
4.694,0.19328
4.800,0.19517
4.905,0.19637
5.010,0.20151
5.119,0.19928
