sensor_type,value_type,value
Camera,Gradient,9.343115808984502
Camera,Gradient,9.482229573873791
Camera,Gradient,9.418546803206866
Camera,Gradient,15.547540470359342
Camera,Gradient,15.574312404173183
Camera,Gradient,15.728958718407473
Camera,Gradient,20.048904203353477
Camera,Gradient,19.985942832714674
Camera,Gradient,19.575759638476868
manual,Manual,9.391
manual,Manual,9.6998
manual,Manual,9.2989
manual,Manual,16.525
manual,Manual,15.3453
manual,Manual,16.0367
manual,Manual,20.1741
manual,Manual,20.3503
manual,Manual,20.2139
